packet_len,time,eth_type,ip_len,ip_ttl,ip_proto,ip_flags,ip_frag,ip_tos,ip_id,has_ip,icmp_type,icmp_code,proto_type,has_tcp,has_udp,has_icmp,is_syn,is_ack,is_fin,is_rst,is_web,is_ssh,is_dns,tcp_sport,tcp_dport,tcp_flags,tcp_window,tcp_urgptr,udp_sport,udp_dport,udp_len
42,1782455361.25032,2054,0,0,0,0,0,0,0,0,0,0,NON_IP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1782455361.250876,2054,0,0,0,0,0,0,0,0,0,0,NON_IP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455362.035456,2048,84,64,1,DF,0,0,46804,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455362.218465,2048,84,255,1,DF,0,0,72,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455363.038531,2048,84,64,1,DF,0,0,46940,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455363.123208,2048,84,255,1,DF,0,0,73,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455364.042636,2048,84,64,1,DF,0,0,47135,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455364.104168,2048,84,255,1,DF,0,0,74,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455365.046934,2048,84,64,1,DF,0,0,47202,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455365.107673,2048,84,255,1,DF,0,0,75,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455366.050855,2048,84,64,1,DF,0,0,47339,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455366.133427,2048,84,255,1,DF,0,0,76,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455367.054316,2048,84,64,1,DF,0,0,47580,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455367.136914,2048,84,255,1,DF,0,0,77,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455368.059246,2048,84,64,1,DF,0,0,47668,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455368.164917,2048,84,255,1,DF,0,0,78,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455369.063317,2048,84,64,1,DF,0,0,47827,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455369.124828,2048,84,255,1,DF,0,0,79,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455370.066451,2048,84,64,1,DF,0,0,48053,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455370.132496,2048,84,255,1,DF,0,0,80,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
